ID,YEAR,WEEKNUMBER,WEEK,PROJECT,STAFF,MONTH,HOUR,CREATED_AT
10000,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Cecelia Buckley,8,0.9,8/5/2019
10001,2019,31,2019-7-28 TO 2019-8-3,Parrot,Naomi Hume,8,12.9,8/2/2019
10002,2019,31,2019-7-28 TO 2019-8-3,Kagaroo,Emma Rose,8,5.6,8/5/2019
10003,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Primrose Levy,8,5.4,8/2/2019
10004,2019,31,2019-7-28 TO 2019-8-3,Marlin,Nabilah Connor,8,0.4,8/2/2019
10005,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Nabilah Connor,8,17.6,8/2/2019
10006,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Myrtle Mcfarland,8,5.3,8/2/2019
10007,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Amber-Rose Quinn,8,1.7,8/2/2019
10008,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Samara Preston,8,5.1,8/2/2019
10009,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Josie Savage,8,0.4,8/2/2019
10010,2019,31,2019-7-28 TO 2019-8-3,Dolphin,Josie Savage,8,2.1,8/2/2019
10011,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Asim Hartman,8,7.1,8/2/2019
10012,2019,31,2019-7-28 TO 2019-8-3,Parrot,Harry Baker,8,17.1,8/2/2019
10013,2019,31,2019-7-28 TO 2019-8-3,Kagaroo,Macsen Hughes,8,4.3,8/2/2019
10014,2019,31,2019-7-28 TO 2019-8-3,Parrot,Aroush Torres,8,3.4,8/2/2019
10015,2019,31,2019-7-28 TO 2019-8-3,Dolphin,Sofia Rooney,8,6.4,8/2/2019
10016,2019,31,2019-7-28 TO 2019-8-3,Geese,Aroush Torres,8,3.4,8/2/2019
10017,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Sofia Rooney,8,2.1,8/2/2019
10018,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Macsen Hughes,8,12.9,8/7/2019
10019,2019,31,2019-7-28 TO 2019-8-3,Marlin,Sofia Rooney,8,0.4,8/2/2019
10020,2019,31,2019-7-28 TO 2019-8-3,Kagaroo,Sofia Rooney,8,3.4,8/2/2019
10021,2019,31,2019-7-28 TO 2019-8-3,Shark,Ari Rios,8,15.4,8/2/2019
10022,2019,31,2019-7-28 TO 2019-8-3,Kagaroo,Reiss Lord,8,3.4,8/2/2019
10023,2019,31,2019-7-28 TO 2019-8-3,Marlin,Reiss Lord,8,5.1,8/2/2019
10024,2019,31,2019-7-28 TO 2019-8-3,Sea Angel,Prince Robles,8,10.7,8/2/2019
10025,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Kris Draper,8,16.3,8/2/2019
10026,2019,31,2019-7-28 TO 2019-8-3,Marlin,Oliwier Rhodes,8,2.6,8/3/2019
10027,2019,31,2019-7-28 TO 2019-8-3,Shark,Oliwier Rhodes,8,13.7,8/3/2019
10028,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Yassin Roberson,8,18,8/3/2019
10029,2019,31,2019-7-28 TO 2019-8-3,Dolphin,Macsen Hughes,8,0.9,8/3/2019
10030,2019,31,2019-7-28 TO 2019-8-3,Sheep,Tanvir Beech,8,6.4,8/5/2019
10031,2019,31,2019-7-28 TO 2019-8-3,Pigeon,Tanvir Beech,8,7.7,8/5/2019
10032,2019,32,2019-8-4 TO 2019-8-10,Hummingbird,Richie Joyner,8,6,8/20/2019
10033,2019,31,2019-7-28 TO 2019-8-3,Marlin,Cecelia Buckley,8,5.1,8/5/2019
10034,2019,31,2019-7-28 TO 2019-8-3,Dog ,Cecelia Buckley,8,1.3,8/5/2019
10035,2019,32,2019-8-4 TO 2019-8-10,Sea Angel,Youssef Hodson,8,8,8/5/2019
